index,degradation,predicted_iou,model_runtime_sec,e2e_runtime_sec,fps_e2e,input_scale,iou,dice,precision,recall,boundary_f1
185,original,0.8645135164260864,0.028449547000036546,0.1114825939999946,8.970010152437325,3.8095238095238093,0.6114659665344991,0.7588940495584566,0.6118016075276959,0.9991035984114488,0.07862410368188574
185,blur,0.8705517053604126,0.028061099000012746,0.09301861000000144,10.750536908689396,3.8095238095238093,0.60510728435233,0.753977369925767,0.6096992213744082,0.9877064925080115,0.10002578401436123
185,lowres,0.8687798976898193,0.028005084999961127,0.09346659499999532,10.699009630125609,3.8095238095238093,0.6119903698146536,0.7592977988882406,0.6147076313178931,0.9928287872960732,0.08508160888504346
185,dark,0.859378457069397,0.028065939999976308,0.09286730200000193,10.768052678002633,3.8095238095238093,0.6152237392468569,0.761781447731473,0.6158799130947596,0.9982712255083888,0.0923383128297472
185,bright,0.8879057765007019,0.028093363999971643,0.09622952199998736,10.391821337324437,3.8095238095238093,0.6158283614522044,0.7622447731994714,0.6166079835421068,0.997951082084135,0.09123148853468949
2783,original,0.8746178150177002,0.028210716999979013,0.09249378200001956,10.811537579896868,3.8323353293413174,0.8856678763754265,0.9393678361619336,0.9168623411248251,0.9630059826882379,0.13046979634689337
2783,blur,0.8560445308685303,0.029380692000017916,0.09853374099998291,10.14880780787744,3.8323353293413174,0.8842725200209148,0.938582408462975,0.9155684001874873,0.9627832230141035,0.12903807070071024
2783,lowres,0.8757212162017822,0.02813388199996325,0.09250825699996312,10.809845871384201,3.8323353293413174,0.8797530864196254,0.9360304741888151,0.9098433298783426,0.9637697301424129,0.09902975272051083
2783,dark,0.8733339905738831,0.028193921000024602,0.09284478900002568,10.770663714898673,3.8323353293413174,0.8876890799452916,0.94050348585056,0.9193041100051783,0.9627036659876269,0.1397984610615975
2783,bright,0.874542772769928,0.028280043999984628,0.09362101300001768,10.681362740646815,3.8323353293413174,0.8581589466257851,0.9236658125335387,0.9182338511854649,0.9291624236251068,0.13092368978136823
726,original,0.8010596632957458,0.028169530000013765,0.08866424100000359,11.278504036367487,3.4133333333333336,0.6861931699139564,0.8138962749433645,0.8252368474095886,0.8028631661516883,0.04493206601524348
726,blur,0.734897792339325,0.0281996470000081,0.08800907099998767,11.362465125897534,3.4133333333333336,0.7056473383002472,0.8274246644719135,0.8556800921801562,0.8009756336714221,0.0781502046455288
726,lowres,0.7509493231773376,0.02790208299995811,0.08738426299998991,11.443708119391193,3.4133333333333336,0.7030364198589798,0.8256269938339837,0.8500765975123076,0.8025444918368382,0.06089408626938569
726,dark,0.789609968662262,0.027978497999981755,0.08056416499999841,12.412466510389821,3.4133333333333336,0.6947996771039864,0.8199195297124855,0.8389206658627648,0.8017600627541301,0.050247928887218976
726,bright,0.8032256364822388,0.028080442000032235,0.08261518000000478,12.104313033027854,3.4133333333333336,0.6852495394404863,0.8132321337622125,0.8243634623615926,0.8023974113838305,0.043645694626207814
1273,original,0.597522497177124,0.02798942600003329,0.0876814570000306,11.404919970703167,3.4133333333333336,0.44407922226233487,0.6150344322060503,0.8583889726465332,0.47918482671541707,0.07206013613875899
1273,blur,0.5757206678390503,0.027883470000006128,0.0858765989999597,11.644615781773908,3.4133333333333336,0.41778523489921204,0.5893491124259193,0.8570936836665383,0.44906669872841115,0.046791847774960704
1273,lowres,0.5921684503555298,0.028045754999993733,0.10049519600005397,9.950724410741614,3.4133333333333336,0.4447983904768646,0.6157238178124717,0.8634193968318163,0.47846343442830314,0.08842702325268345
1273,dark,0.5502398014068604,0.02824562299997524,0.08914215400000103,11.218037203812559,3.4133333333333336,0.44084043916835514,0.6119212470505141,0.8580571676515387,0.47551774925592133,0.06537000804750201
1273,bright,0.5966675281524658,0.0280015459999845,0.08902481699999498,11.232822865561817,3.4133333333333336,0.4444940061331351,0.6154321225922308,0.8597465624152818,0.4792449427393432,0.06927571242580183
