metric,mean,ci95_low,ci95_high
iou,0.606984080814736,0.5843979003374519,0.6279609609453568
dice,0.7149269033047752,0.6917666440303032,0.7362269673804543
precision,0.8549885561357156,0.8464268892299254,0.8640595061846369
recall,0.7225738956439784,0.6943372983848192,0.7486727903276199
boundary_f1,0.09519499625442812,0.08813404425062034,0.10238052559955098
e2e_runtime_sec,0.09301649514629208,0.09172722300671286,0.09426431586097044
