index,model,model_score,runtime_sec,fps,input_scale,iou,dice,precision,recall,boundary_f1
2796,STT-B,0.8576433062553406,0.08239975200001481,12.135958855796316,3.1067961165048543,0.7382879803089377,0.8494426569960235,0.8650740242259718,0.8343661623575029,0.09385940545913882
2796,SAM-ViT-B,0.9556986093521118,0.5973236019999604,1.6741344166743077,3.1067961165048543,0.8314621191660132,0.9079763217211757,0.832072072071965,0.9991191333506932,0.06446211305097035
387,STT-B,0.5690215229988098,0.07279693999998926,13.736841136456388,3.843843843843844,0.02380818371136162,0.04650907091806129,0.9999999999763594,0.02380818371136162,0.0
387,SAM-ViT-B,0.8590805530548096,0.42378396499998416,2.3596928685115244,3.843843843843844,0.20774113813819012,0.34401600074406063,0.9908896034271413,0.20813868407710465,0.0355571369727714
728,STT-B,0.7832348346710205,0.06657510600007299,15.020629482721418,3.4133333333333336,0.7933696773240627,0.8847809655261618,0.8133099719056239,0.9700234192033975,0.16313932480682738
728,SAM-ViT-B,0.9060723781585693,0.4275747069999625,2.338772578519449,3.4133333333333336,0.669101516356725,0.8017505344039515,0.669101516356725,0.9999999999996396,0.019881245545535324
2074,STT-B,0.9091305732727051,0.06779624600005718,14.750079230038144,3.6363636363636362,0.7615558500269851,0.8646400283196459,0.7903891270929575,0.9542879468641559,0.06255119019895569
2074,SAM-ViT-B,0.9734834432601929,0.42426567300003626,2.3570136912771504,3.6363636363636362,0.7658282415561098,0.867387012545722,0.767151064548546,0.9977534674736287,0.1506110174207148
1411,STT-B,0.7984778881072998,0.0688479619999498,14.524758191109987,3.843843843843844,0.7327329599917429,0.845754050866828,0.780602510010271,0.922771459431691,0.23582357741547705
1411,SAM-ViT-B,0.9476059675216675,0.4238251610000816,2.359463505282093,3.843843843843844,0.7122686337510268,0.8319589808646749,0.7122686337510268,0.9999999999996823,0.05868395875194831
2954,STT-B,0.7153800129890442,0.06587907599998744,15.179326437428944,3.4133333333333336,0.8514615328447316,0.9197723179659897,0.8519384375606732,0.9993429885448627,0.09405144196229868
2954,SAM-ViT-B,0.9837900996208191,0.42472598500000913,2.3544591932607526,3.4133333333333336,0.7954576487185847,0.8860778746703399,0.7964182369156745,0.9984860170820127,0.04944144881969161
2546,STT-B,0.6946595907211304,0.0719179710000617,13.904730432385838,3.843843843843844,0.2738008720925258,0.4298958779055343,0.9999999999933644,0.2738008720925258,0.06940819304222522
2546,SAM-ViT-B,0.8863691091537476,0.42547672600005626,2.3503048201980095,3.843843843843844,0.2959665697669041,0.4567503154346604,0.9999999999938614,0.2959665697669041,0.09163938941514034
3034,STT-B,0.8719687461853027,0.07015951200003201,14.2532348286508,3.855421686746988,0.8081245117478493,0.8938814849278983,0.870308050737487,0.9187675070024872,0.21485495861547227
3034,SAM-ViT-B,0.9927309155464172,0.4274992129999191,2.339185592840353,3.855421686746988,0.8295267781238795,0.906821138714933,0.8295267781238795,0.9999999999996584,0.10735539583375925
1383,STT-B,0.8125469088554382,0.072184952999919,13.85330264052568,3.843843843843844,0.8258285591902271,0.9046069030232391,0.8527671808478873,0.9631572374169591,0.21025943635766037
1383,SAM-ViT-B,0.9306039214134216,0.42017339000005904,2.379969850065611,3.843843843843844,0.8294186197071529,0.9067565080756895,0.8294186197071529,0.9999999999996877,0.14882156012379436
770,STT-B,0.7874876260757446,0.06233639300000959,16.041993318411063,5.688888888888889,0.757868162692422,0.8622582498241966,0.8323475046205592,0.8943988347451705,0.19800031476983965
770,SAM-ViT-B,0.8494403958320618,0.43387159800010977,2.304829365668105,5.688888888888889,0.809125133449003,0.8944932757707568,0.8424501257819912,0.9533898305078433,0.2882223098208092
1247,STT-B,0.9229035973548889,0.08572889799995664,11.664678111230424,4.35374149659864,0.6243531809951927,0.768740675734904,0.7962585899718584,0.743061210640482,0.0153669870102736
1247,SAM-ViT-B,0.9830394387245178,0.42543412399993485,2.35054017434707,4.35374149659864,0.7442894122102729,0.8534012842136649,0.7442894122102729,0.9999999999998304,0.0
1662,STT-B,0.9331661462783813,0.07084850500007178,14.11462387243015,3.843843843843844,0.7957721608393798,0.8862729673539654,0.8464180305874526,0.9300666312870394,0.12914364956594965
1662,SAM-ViT-B,0.9850950241088867,0.42995456599999216,2.3258271433266238,3.843843843843844,0.7507201418124306,0.857612960384689,0.7513527898517474,0.9988796509226175,0.08080807586938922
3412,STT-B,0.6283840537071228,0.07033882899997934,14.216898606604522,3.843843843843844,0.810694463246024,0.8954514190016305,0.8420889813822932,0.9560344827583154,0.24265665417496463
3412,SAM-ViT-B,0.9105429649353027,0.42433390300004703,2.356634699537287,3.843843843843844,0.6323826452289262,0.7747970698870552,0.6325359625018926,0.9996168582372287,0.07184633856513133
1713,STT-B,0.8242416381835938,0.07071170799997617,14.14192965046661,3.843843843843844,0.5483367228354944,0.7082913099565531,0.9063025210082221,0.581289701636114,0.0914314399232727
1713,SAM-ViT-B,0.9841862320899963,0.43448525799999516,2.301574061691205,3.843843843843844,0.8673148890669978,0.92894336584051,0.8678368438648314,0.9993070259863973,0.0662357386316383
2790,STT-B,0.7637467384338379,0.1083941809999942,9.225587487948763,3.4133333333333336,0.8628735632181429,0.9263898315541238,0.864463380930198,0.9978731888870803,0.04056337528793873
2790,SAM-ViT-B,0.9222164154052734,0.4454633590000867,2.244853543610543,3.4133333333333336,0.44279436278210554,0.6138010713159093,0.8342374236276855,0.4855110992953325,0.06935292569266727
414,STT-B,0.8703957200050354,0.11275740199994289,8.86859738042303,4.076433121019108,0.21506191559243948,0.3539933444257113,0.9469584569697813,0.21768417462464384,0.05953168137032655
414,SAM-ViT-B,0.9604039192199707,0.4533250459999181,2.2059226791545523,4.076433121019108,0.21897933361432392,0.35928309459528107,0.9533602644107478,0.22135061391522734,0.06960577579635994
1290,STT-B,0.539772093296051,0.08587541500003226,11.644776330916413,2.838137472283814,0.5876582250835929,0.7402830354784344,0.9482668696521126,0.6071225508334064,0.0431875297955002
1290,SAM-ViT-B,0.9391795992851257,0.44643025899995337,2.2399915324738426,2.838137472283814,0.8749812858686788,0.9333226869656994,0.9177586236978593,0.9494237520643891,0.040091616640611706
943,STT-B,0.8969619870185852,0.11299991800001408,8.849563943930255,3.4133333333333336,0.653094484659905,0.7901477994396282,0.9877983648985277,0.6584060133903832,0.2006220534284548
943,SAM-ViT-B,0.9823915362358093,0.448774680999918,2.228289701575617,3.4133333333333336,0.9257589613466266,0.9614484262342682,0.939825045438375,0.9840902556237272,0.16167062007728705
3137,STT-B,0.8055510520935059,0.07934417800004212,12.603319174841904,4.705882352941177,0.5248985614145153,0.688437348813042,0.6070819112602087,0.794972067034665,0.19941077149352968
3137,SAM-ViT-B,0.9450598359107971,0.4396835369999508,2.274363072184147,4.705882352941177,0.4965325936185949,0.6635773864677228,0.4965325936185949,0.9999999999944135,0.06270232954819631
2828,STT-B,0.8132724165916443,0.06629001099997822,15.085229055103468,3.282051282051282,0.8578652031817404,0.9234956354342378,0.8959876344431126,0.9527461991506708,0.08810516067512954
2828,SAM-ViT-B,0.9768384099006653,0.4279619259999663,2.3366564622855694,3.282051282051282,0.829074969907471,0.9065511075791629,0.829074969907471,0.9999999999998631,0.00850665855720384
1067,STT-B,0.9117660522460938,0.0684130559999403,14.61709297127251,3.290488431876607,0.734555578902745,0.8469668978464379,0.7594503584614601,0.9572807558013573,0.25444595943266823
1067,SAM-ViT-B,0.9921996593475342,0.43419939700004306,2.303089333861744,3.290488431876607,0.6910684671875427,0.8173157747265853,0.6917895935110318,0.9984938728000283,0.0836569349759936
363,STT-B,0.8507470488548279,0.07851354800004628,12.736655334941817,3.855421686746988,0.7828178885302084,0.8781804283729501,0.7953151931279717,0.9803218166616814,0.1635492895691514
363,SAM-ViT-B,0.9291789531707764,0.43114239599992743,2.319419313150007,3.855421686746988,0.7708795669822001,0.8706177216736146,0.7756658134086446,0.9920590693783115,0.059955709546893665
747,STT-B,0.7863357067108154,0.0684329240000352,14.612849218593752,3.4133333333333336,0.49465080286317525,0.6618948076910203,0.991584417598846,0.49673615293449996,0.043541567330857796
747,SAM-ViT-B,0.9891911149024963,0.4349028569999973,2.299364062351989,3.4133333333333336,0.932078537328879,0.9648453924833598,0.9392286536851021,0.9918986653195858,0.11952699401122312
2916,STT-B,0.7702268362045288,0.07067650999999842,14.148972551135058,3.8323353293413174,0.672095014299384,0.8038957218959176,0.8883110629587365,0.7341318795016248,0.11707552890822276
2916,SAM-ViT-B,0.9809768199920654,0.43614819099991564,2.292798687774893,3.8323353293413174,0.4183495097141177,0.5899103244283422,0.4183495097141177,0.999999999999801,0.00036172543197968897
351,STT-B,0.7777635455131531,0.06596879100004571,15.158683141537445,3.4133333333333336,0.7211807988781349,0.8380070232577546,0.721370367124576,0.9996357455063141,0.12479584728468208
351,SAM-ViT-B,0.9251502156257629,0.4332776250000734,2.3079890174338695,3.4133333333333336,0.6869993324426844,0.8144630756290179,0.6871713546442808,0.9996357455063141,0.05017832492746417
2882,STT-B,0.8473642468452454,0.06519092300004559,15.339558852377358,3.4133333333333336,0.6415427369683635,0.7816339136599983,0.6429189718111313,0.9966744457403753,0.05482469248649284
2882,SAM-ViT-B,0.978564977645874,0.4349450440000737,2.2991410381487887,3.4133333333333336,0.6243502452593073,0.7687384504437805,0.6262759785559865,0.9950991831966189,0.06347203693299863
1721,STT-B,0.6976784467697144,0.0632199799999853,15.817784187850622,3.0843373493975905,0.5132112620593595,0.6783074841260698,0.5132718966602644,0.999769868057303,0.010268287128692637
