index,iou_delta_stt_minus_sam,dice_delta_stt_minus_sam,runtime_sec_delta_stt_minus_sam
20,0.5569491150091269,0.5526509878796442,-0.37220716199999515
44,-0.43865476578657,-0.34442934903363276,-0.36382814899991445
165,-0.1707347470197128,-0.1161597634093291,-0.3453033370000185
174,0.004241087173981084,0.0028307823332296422,-0.3346602909999774
238,0.011436948894009591,0.008093283755771896,-0.3597030990000576
316,0.00030437429341668987,0.0005665787284643703,-0.3627393959999381
351,0.0341814664354505,0.023543947628736683,-0.3673088340000277
357,-0.6157493868834137,-0.625656093927431,-0.36077126200007115
363,0.011938321548008335,0.007562706699335453,-0.35262884799988115
365,-0.03718667903894124,-0.02378926414215532,-0.3760789719999593
371,0.015266175019177264,0.010155470187052984,-0.3817725839999184
377,-0.00022645596416086267,-0.0004213561059133314,-0.37640907799993784
387,-0.1839329544268285,-0.29750692982599936,-0.3509870249999949
410,0.11108460360910821,0.08529130095822046,-0.37563625499990394
414,-0.0039174180218844445,-0.005289750169569785,-0.3405676439999752
445,-0.42960264543556437,-0.3519993808473181,-0.37232741000002534
478,0.0011983344076286206,0.000740552957994689,-0.3747776589999603
567,0.020318667064682883,0.01248871941162244,-0.35126365600001463
595,0.036495037617056636,0.02353460012127473,-0.37005993100001433
639,-0.3378584471153355,-0.23280519273130018,-0.3741117419999682
659,-0.12126660134100065,-0.07053001283604499,-0.3587556910000558
663,-0.021713495562633134,-0.012525196407223937,-0.3739073809998672
668,-0.6125965500096753,-0.7541495941279798,-0.35395277499992517
728,0.12426816096733773,0.08303043112221031,-0.3609996009998895
747,-0.43742773446570377,-0.3029505847923395,-0.3664699329999621
770,-0.05125697075658109,-0.032235025946560136,-0.3715352050001002
800,-0.4258376519053366,-0.3086478165718358,-0.3655219490000263
801,-0.7887966815812744,-0.8132495973561802,-0.34518498800014186
818,-0.10211387016268403,-0.07396682645346253,-0.36063927800000783
824,-5.3239631581743566e-05,-0.00010569115078285559,-0.3711325339999121
943,-0.27266447668672156,-0.17130062679463998,-0.33577476299990394
1067,0.043487111715202365,0.029651123119852518,-0.36578634100010277
1187,0.031712797948487026,0.020860935496583632,-0.35817590700003166
1190,-0.0343429346421954,-0.02243482755705628,-0.3780005849999952
1204,-0.10379747554585961,-0.0663062043666135,-0.3711766879999914
1247,-0.11993623121508024,-0.08466060847876089,-0.3397052259999782
1287,0.007647337810839594,0.004913662902424898,-0.3686357950000456
1290,-0.28732306078508596,-0.19303965148726498,-0.3605548439999211
1304,-0.006501062732258811,-0.005433568414210721,-0.3711680169999454
1339,0.03939627736917495,0.027534612413360415,-0.37520552400008
1383,-0.003590060516925786,-0.0021496050524504318,-0.34798843700014004
1399,-0.10282671696679224,-0.07111764949125388,-0.3813070290000269
1401,-0.06686760785500623,-0.04455048300429565,-0.35905583899989324
1411,0.020464326240716146,0.013795070002153076,-0.3549771990001318
1442,3.159907098730652e-05,5.87774666888502e-05,-0.35681716199997027
1452,0.16077239025058154,0.11291554167483331,-0.361863466999921
1475,-0.18175012009238334,-0.12518381780202725,-0.36574413200003164
1487,-0.0773662271599529,-0.05105651689689694,-0.35480513600009544
1503,-0.057741035783038575,-0.03660223576204458,-0.346276143999944
1662,0.04505201902694922,0.028660006969276397,-0.3591060609999204
1709,0.11397530921478584,0.16449613158246618,-0.3584465830000454
1713,-0.31897816623150343,-0.22065205588395687,-0.363773550000019
1721,0.015521039480902998,0.013697119344997621,-0.3714895189999652
1818,-0.0011683939305144886,-0.0007501136702642297,-0.3658061329999782
1880,-0.237444787878353,-0.17197508093525482,-0.3598128879999649
2074,-0.0042723915291247305,-0.00274698422607611,-0.3564694269999791
2118,0.3014410385301185,0.2781078204257929,-0.3566921370000955
2273,-0.10558122179691687,-0.06460716780356801,-0.36472243600007914
2278,0.015430803063426035,0.008868703069472739,-0.36830170300004283
2296,-0.19934290139967326,-0.12714679525759387,-0.36504152500003784
2374,0.16915628903099778,0.11366257555028603,-0.37169527300000027
2447,-0.43475209513586555,-0.30275171924125543,-0.36588528000004317
2518,0.015722667199015605,0.009067584334012335,-0.3737230309999404
2546,-0.022165697674378315,-0.026854437529126085,-0.35355875499999456
2553,0.11059420923421659,0.07801119649544486,-0.3720984320000298
2565,-0.044061591268278355,-0.025828002031103914,-0.3573294810000789
2566,0.009805318412166697,0.005741282962011263,-0.3654198729999507
2614,-0.2974986295137172,-0.19002125669264158,-0.35611359600000014
2623,0.017093514113591723,0.01032698040232194,-0.3810649109999531
