index,prompt_type,predicted_iou,model_runtime_sec,e2e_runtime_sec,fps_model,fps_e2e,input_scale,peak_gpu_mem_gb,iou,dice,precision,recall,boundary_f1,area_error_pct,perimeter_error_pct,occupancy_pct,failure,confident_failure
55,deepest_interior,0.38897326588630676,0.028366014000027917,0.07610515500005022,35.2534550677094,13.139714385961636,8.533333333333333,0.39677953720092773,0.0004744446840627671,0.000948439386100643,0.999999999090909,0.0004744446840627671,0.0,99.95255553155059,98.30508474430296,0.03666666666666667,True,False
1911,deepest_interior,0.6838769316673279,0.029689442000005783,0.10355683900002077,33.68200722667018,9.65653267960216,3.1920199501246884,0.39677953720092773,0.0005164494648703914,0.001032365764993901,0.999999999787234,0.0005164494648703914,0.0,99.94835505350197,98.23105113217919,0.02344139650872818,True,False
1332,deepest_interior,0.5521652102470398,0.028356428999984473,0.09295291000000816,35.26537139075402,10.75813549032421,3.855421686746988,0.3973269462585449,0.001005650799731706,0.0020092809644546225,0.9999999998809525,0.001005650799731706,0.0,99.89943492001485,97.86310894409863,0.05060240963855422,True,False
312,deepest_interior,0.5329325795173645,0.028705474999981107,0.09898941500000547,34.83655992456694,10.102090208331314,2.56,0.39500951766967773,0.0013246362267936894,0.002645767773746591,0.999999999949495,0.0013246362267936894,0.0,99.86753637731394,94.34357670820197,0.0792,True,False
839,deepest_interior,0.6418943405151367,0.028751172999989194,0.11269206699995493,34.781189623128625,8.873739089375297,3.4133333333333336,0.39677953720092773,0.0014951773202121104,0.0029858902051088988,0.9999999999346405,0.0014951773202121104,0.0,99.85048226796901,96.25202669935987,0.0816,True,False
3311,deepest_interior,0.7697463035583496,0.02806270600001426,0.07229501699998764,35.634482291176475,13.83221197665907,2.8444444444444446,0.3953671455383301,0.00309960351361382,0.006180051318446669,0.6461187214464357,0.0031048745433197907,0.005885812939671655,99.5194575795035,50.619657764453166,0.2006872852233677,True,True
824,deepest_interior,0.6494414210319519,0.0280383909999955,0.0806124150000187,35.6653846506442,12.405037114937793,3.4594594594594597,0.39677953720092773,0.003694830431773019,0.007362457830301992,0.9999999999711815,0.003694830431773019,0.0,99.63051695681206,95.27528699995354,0.18756756756756757,True,False
2701,deepest_interior,0.5124445557594299,0.028041058999974666,0.08883486299998822,35.66199122511398,11.256841809956217,5.688888888888889,0.39677953720092773,0.0037172282596803804,0.007406923294772149,0.9999999999411764,0.0037172282596803804,0.0,99.62827717401011,95.2329543293716,0.2518518518518518,True,False
2106,deepest_interior,0.7577952146530151,0.02802647999999408,0.08482286699995711,35.68054211589223,11.78927375798917,3.4133333333333336,0.39677953720092773,0.0044143204727138665,0.008789839775753748,0.9999999999606299,0.0044143204727138665,0.0,99.55856795271124,93.47459451320614,0.13546666666666668,True,True
834,deepest_interior,0.4003565311431885,0.027981221999993977,0.0767645820000098,35.73825331860829,13.026840945996064,3.062200956937799,0.39677953720092773,0.004514773590807512,0.008988964044139822,0.9999999999009902,0.004514773590807512,0.0,99.54852264087454,97.64792090264743,0.04832535885167464,True,False
